timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
0.0,0.0,2416.04,0.01,0.72,0.01,42.25,HBEFA3/PC_G_EU4,0.0,1.04,veh0,5330181#0_0,65.15,5.1,!veh0!var#1,14.72,veh_passenger,0.0,18279.94,24533.12
1.0,0.0,0.0,0.0,0.0,0.0,42.25,HBEFA3/PC_G_EU4,0.0,0.0,veh0,5330181#0_0,62.72,18.85,!veh0!var#1,13.75,veh_passenger,0.0,18289.19,24543.3
2.0,0.0,0.0,0.0,0.0,0.0,42.25,HBEFA3/PC_G_EU4,0.0,0.0,veh0,5330181#0_0,61.3,31.36,!veh0!var#1,12.51,veh_passenger,0.0,18297.59,24552.56
3.0,0.0,0.0,0.0,0.0,0.0,40.62,HBEFA3/PC_G_EU4,0.0,0.0,veh0,5330181#0_0,55.09,39.88,!veh0!var#1,8.52,veh_passenger,0.0,18303.19,24558.98
4.0,0.0,0.0,0.0,0.0,0.0,34.08,HBEFA3/PC_G_EU4,0.0,0.0,veh0,:37981946_10_0,48.52,3.9,!veh0!var#1,4.77,veh_passenger,0.0,18305.84,24562.94
5.0,126.95,5681.26,0.71,2.46,0.11,352.59,HBEFA3/PC_G_EU4,0.0,2.44,veh0,:37981946_18_0,67.66,4.76,!veh0!var#1,6.79,veh_passenger,0.0,18305.54,24569.55
6.0,111.13,5843.88,0.64,2.5,0.11,317.63,HBEFA3/PC_G_EU4,0.0,2.51,veh0,744926153#3_0,67.11,4.53,!veh0!var#1,8.49,veh_passenger,0.0,18300.15,24576.09
7.0,126.41,7523.47,0.76,3.24,0.15,325.43,HBEFA3/PC_G_EU4,0.0,3.23,veh0,744926153#3_0,69.25,14.99,!veh0!var#1,10.47,veh_passenger,0.0,18293.73,24584.32
8.0,89.45,6268.57,0.56,2.61,0.12,332.73,HBEFA3/PC_G_EU4,0.0,2.69,veh0,744926153#3_0,67.38,26.79,!veh0!var#1,11.79,veh_passenger,0.0,18287.86,24594.52
9.0,148.13,9818.41,0.91,4.23,0.21,339.62,HBEFA3/PC_G_EU4,0.0,4.22,veh0,744926153#3_0,71.33,40.65,!veh0!var#1,13.86,veh_passenger,0.0,18282.14,24607.12
10.0,0.0,2361.99,0.03,0.72,0.01,344.78,HBEFA3/PC_G_EU4,0.0,1.02,veh0,744926153#3_0,64.57,54.52,!veh0!var#1,13.87,veh_passenger,0.0,18278.16,24620.4
11.0,1.99,2755.01,0.07,0.9,0.02,352.18,HBEFA3/PC_G_EU4,0.0,1.18,veh0,744926153#3_0,64.9,68.51,!veh0!var#1,13.98,veh_passenger,0.0,18275.98,24634.2
