timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
2.0,164.78,2624.72,0.81,1.2,0.07,359.85,HBEFA3/PC_G_EU4,0.0,1.13,veh4,-737358444#2_0,55.94,4.39,!veh4!var#1,0.0,veh_passenger,0.0,27949.69,24299.88
3.0,148.04,2955.05,0.74,1.32,0.07,359.71,HBEFA3/PC_G_EU4,0.0,1.27,veh4,-737358444#1_0,62.52,1.28,!veh4!var#1,1.38,veh_passenger,0.0,27949.68,24301.16
4.0,138.69,4011.99,0.73,1.77,0.09,359.62,HBEFA3/PC_G_EU4,0.0,1.72,veh4,-737358444#1_0,65.98,4.63,!veh4!var#1,3.36,veh_passenger,0.0,27949.66,24304.51
5.0,135.4,5347.07,0.74,2.34,0.11,359.61,HBEFA3/PC_G_EU4,0.0,2.3,veh4,-737358444#1_0,67.91,10.2,!veh4!var#1,5.57,veh_passenger,0.0,27949.62,24310.08
6.0,101.3,4497.38,0.57,1.9,0.08,359.61,HBEFA3/PC_G_EU4,0.0,1.93,veh4,-737358444#1_0,64.8,17.1,!veh4!var#1,6.9,veh_passenger,0.0,27949.57,24316.98
7.0,116.11,6197.47,0.68,2.66,0.12,359.61,HBEFA3/PC_G_EU4,0.0,2.66,veh4,-737358444#1_0,67.68,25.8,!veh4!var#1,8.71,veh_passenger,0.0,27949.52,24325.68
8.0,96.44,5927.68,0.58,2.49,0.11,0.31,HBEFA3/PC_G_EU4,0.0,2.55,veh4,-737358444#1_0,66.92,35.95,!veh4!var#1,10.15,veh_passenger,0.0,27949.56,24335.83
9.0,145.1,9162.99,0.88,3.96,0.19,0.31,HBEFA3/PC_G_EU4,0.0,3.94,veh4,-737358444#1_0,70.93,48.26,!veh4!var#1,12.31,veh_passenger,0.0,27949.63,24348.14
10.0,186.23,11922.03,1.14,5.2,0.26,0.31,HBEFA3/PC_G_EU4,0.0,5.12,veh4,-737358444#1_0,73.37,63.04,!veh4!var#1,14.78,veh_passenger,0.0,27949.71,24362.92
11.0,119.0,9000.72,0.76,3.79,0.18,0.12,HBEFA3/PC_G_EU4,0.0,3.87,veh4,:38037415_9_0,70.48,6.1,!veh4!var#1,16.29,veh_passenger,0.0,27949.77,24379.21
12.0,239.42,15216.78,1.46,6.66,0.35,359.92,HBEFA3/PC_G_EU4,0.0,6.54,veh4,-737358444#0_0,75.5,10.46,!veh4!var#1,18.79,veh_passenger,0.0,27949.78,24398.0
13.0,138.16,10391.94,0.88,4.35,0.22,359.92,HBEFA3/PC_G_EU4,0.0,4.47,veh4,-737358444#0_0,72.08,30.62,!veh4!var#1,20.16,veh_passenger,0.0,27949.75,24418.16
14.0,0.0,0.0,0.0,0.0,0.0,359.92,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-737358444#0_0,68.2,50.58,!veh4!var#1,19.96,veh_passenger,0.0,27949.72,24438.12
15.0,43.34,5796.25,0.34,2.18,0.1,359.92,HBEFA3/PC_G_EU4,0.0,2.49,veh4,-737358444#0_0,69.77,71.02,!veh4!var#1,20.44,veh_passenger,0.0,27949.69,24458.56
16.0,28.41,5077.99,0.25,1.83,0.08,359.72,HBEFA3/PC_G_EU4,0.0,2.18,veh4,-733279815#4_0,69.63,0.26,!veh4!var#1,20.77,veh_passenger,0.0,27949.61,24479.32
17.0,0.0,0.0,0.0,0.0,0.0,359.57,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279815#4_0,67.88,20.48,!veh4!var#1,20.22,veh_passenger,0.0,27949.45,24499.54
18.0,0.0,0.0,0.0,0.0,0.0,0.51,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279815#4_0,68.39,40.58,!veh4!var#1,20.09,veh_passenger,0.0,27949.38,24519.64
19.0,66.33,6919.88,0.47,2.7,0.13,0.87,HBEFA3/PC_G_EU4,0.0,2.97,veh4,-733279815#4_0,70.4,61.33,!veh4!var#1,20.76,veh_passenger,0.0,27949.7,24540.39
20.0,0.0,0.0,0.0,0.0,0.0,0.44,HBEFA3/PC_G_EU4,0.0,0.0,veh4,:38074463_7_0,68.24,5.98,!veh4!var#1,20.4,veh_passenger,0.0,27949.97,24560.8
21.0,28.66,5089.85,0.25,1.84,0.08,359.98,HBEFA3/PC_G_EU4,0.0,2.19,veh4,-733279815#3_0,69.62,12.33,!veh4!var#1,20.73,veh_passenger,0.0,27950.02,24581.53
22.0,0.0,0.0,0.0,0.0,0.0,359.98,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279815#3_0,68.77,32.97,!veh4!var#1,20.64,veh_passenger,0.0,27950.02,24602.16
23.0,0.0,0.0,0.0,0.0,0.0,359.98,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279815#3_0,67.55,52.92,!veh4!var#1,19.96,veh_passenger,0.0,27950.01,24622.11
24.0,18.87,4600.16,0.2,1.62,0.07,359.96,HBEFA3/PC_G_EU4,0.0,1.98,veh4,:38020636_9_0,69.18,2.02,!veh4!var#1,20.22,veh_passenger,0.0,27950.0,24642.33
25.0,5.36,3948.88,0.12,1.31,0.05,359.98,HBEFA3/PC_G_EU4,0.0,1.7,veh4,-733279815#1_0,69.01,7.92,!veh4!var#1,20.35,veh_passenger,0.0,27949.98,24662.68
26.0,0.0,0.0,0.0,0.0,0.0,359.98,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279815#1_0,67.53,27.69,!veh4!var#1,19.76,veh_passenger,0.0,27949.97,24682.45
27.0,34.11,5338.36,0.28,1.97,0.09,359.98,HBEFA3/PC_G_EU4,0.0,2.29,veh4,-733279815#1_0,69.46,47.86,!veh4!var#1,20.17,veh_passenger,0.0,27949.96,24702.62
28.0,0.0,0.0,0.0,0.0,0.0,359.98,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279815#1_0,67.49,67.48,!veh4!var#1,19.62,veh_passenger,0.0,27949.95,24722.24
29.0,99.79,8542.25,0.66,3.47,0.17,0.12,HBEFA3/PC_G_EU4,0.0,3.67,veh4,:38030062_9_0,71.14,10.58,!veh4!var#1,20.6,veh_passenger,0.0,27949.97,24742.84
30.0,9.11,4140.68,0.14,1.39,0.06,0.29,HBEFA3/PC_G_EU4,0.0,1.78,veh4,-733279817#9_0,69.28,16.84,!veh4!var#1,20.75,veh_passenger,0.0,27950.06,24763.59
31.0,0.0,0.0,0.0,0.0,0.0,0.29,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#9_0,68.3,37.27,!veh4!var#1,20.43,veh_passenger,0.0,27950.17,24784.03
32.0,0.0,0.0,0.0,0.0,0.0,359.06,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#9_0,68.03,57.35,!veh4!var#1,20.07,veh_passenger,0.0,27950.16,24804.1
33.0,0.0,0.0,0.0,0.0,0.0,359.4,HBEFA3/PC_G_EU4,0.0,0.0,veh4,:38050345_3_0,68.45,7.99,!veh4!var#1,20.01,veh_passenger,0.0,27949.8,24824.11
34.0,61.41,6678.63,0.44,2.59,0.12,0.22,HBEFA3/PC_G_EU4,0.0,2.87,veh4,-733279817#8_0,70.25,14.36,!veh4!var#1,20.64,veh_passenger,0.0,27949.79,24844.75
35.0,0.0,0.0,0.0,0.0,0.0,0.22,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#8_0,67.42,34.24,!veh4!var#1,19.88,veh_passenger,0.0,27949.86,24864.63
36.0,27.15,5002.7,0.24,1.81,0.08,0.22,HBEFA3/PC_G_EU4,0.0,2.15,veh4,-733279817#8_0,69.35,54.47,!veh4!var#1,20.22,veh_passenger,0.0,27949.94,24884.85
37.0,14.49,4394.81,0.17,1.52,0.06,359.3,HBEFA3/PC_G_EU4,0.0,1.89,veh4,-733279817#8_0,69.21,74.9,!veh4!var#1,20.44,veh_passenger,0.0,27949.85,24905.29
38.0,2.13,3797.07,0.1,1.23,0.05,359.3,HBEFA3/PC_G_EU4,0.0,1.63,veh4,-733279817#8_0,69.05,95.44,!veh4!var#1,20.54,veh_passenger,0.0,27949.6,24925.82
39.0,0.0,0.0,0.0,0.0,0.0,0.48,HBEFA3/PC_G_EU4,0.0,0.0,veh4,:38088429_7_0,68.74,9.42,!veh4!var#1,20.48,veh_passenger,0.0,27949.54,24946.3
40.0,0.84,3734.9,0.09,1.2,0.05,1.67,HBEFA3/PC_G_EU4,0.0,1.61,veh4,-733279817#7_0,69.04,15.52,!veh4!var#1,20.56,veh_passenger,0.0,27950.03,24966.86
41.0,0.0,0.0,0.0,0.0,0.0,358.57,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#7_0,68.82,36.06,!veh4!var#1,20.53,veh_passenger,0.0,27949.76,24987.39
42.0,0.0,0.0,0.0,0.0,0.0,359.39,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#7_0,66.98,55.6,!veh4!var#1,19.54,veh_passenger,0.0,27949.34,25006.92
43.0,68.83,7028.3,0.48,2.76,0.13,0.2,HBEFA3/PC_G_EU4,0.0,3.02,veh4,-733279817#7_0,70.26,75.87,!veh4!var#1,20.27,veh_passenger,0.0,27949.41,25027.19
44.0,0.0,0.0,0.0,0.0,0.0,0.2,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#7_0,67.32,95.46,!veh4!var#1,19.59,veh_passenger,0.0,27949.48,25046.78
45.0,0.0,0.0,0.0,0.0,0.0,0.2,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#7_0,63.96,112.1,!veh4!var#1,16.64,veh_passenger,0.0,27949.54,25063.42
46.0,0.0,0.0,0.0,0.0,0.0,0.2,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#7_0,60.88,125.38,!veh4!var#1,13.27,veh_passenger,0.0,27949.58,25076.7
47.0,0.0,0.0,0.0,0.0,0.0,0.2,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#7_0,55.37,134.15,!veh4!var#1,8.77,veh_passenger,0.0,27949.61,25085.47
48.0,0.0,0.0,0.0,0.0,0.0,0.18,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#6_0,46.87,2.3,!veh4!var#1,4.28,veh_passenger,0.0,27949.63,25089.65
49.0,135.77,5960.66,0.76,2.6,0.12,0.0,HBEFA3/PC_G_EU4,0.0,2.56,veh4,:38049075_5_0,68.57,5.34,!veh4!var#1,6.54,veh_passenger,0.0,27949.63,25096.18
50.0,121.33,6324.13,0.7,2.72,0.13,0.0,HBEFA3/PC_G_EU4,0.0,2.72,veh4,:38049075_5_0,68.03,13.8,!veh4!var#1,8.46,veh_passenger,0.0,27949.63,25104.64
51.0,111.52,6672.44,0.67,2.84,0.13,359.87,HBEFA3/PC_G_EU4,0.0,2.87,veh4,-733279817#5_0,68.04,9.49,!veh4!var#1,10.18,veh_passenger,0.0,27949.61,25114.82
52.0,131.32,8432.36,0.8,3.62,0.17,359.87,HBEFA3/PC_G_EU4,0.0,3.62,veh4,-733279817#5_0,70.05,21.63,!veh4!var#1,12.14,veh_passenger,0.0,27949.58,25126.96
53.0,170.31,11060.46,1.04,4.81,0.24,359.87,HBEFA3/PC_G_EU4,0.0,4.75,veh4,-733279817#5_0,72.55,36.07,!veh4!var#1,14.45,veh_passenger,0.0,27949.55,25141.4
54.0,122.93,9137.73,0.78,3.86,0.19,359.87,HBEFA3/PC_G_EU4,0.0,3.93,veh4,-733279817#5_0,70.57,52.09,!veh4!var#1,16.02,veh_passenger,0.0,27949.51,25157.42
55.0,150.34,10767.97,0.95,4.59,0.23,359.87,HBEFA3/PC_G_EU4,0.0,4.63,veh4,-733279817#5_0,72.02,69.84,!veh4!var#1,17.74,veh_passenger,0.0,27949.47,25175.17
56.0,0.0,0.0,0.0,0.0,0.0,359.87,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#5_0,60.74,83.08,!veh4!var#1,13.24,veh_passenger,0.0,27949.44,25188.41
57.0,0.0,0.0,0.0,0.0,0.0,359.87,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#5_0,55.33,91.83,!veh4!var#1,8.74,veh_passenger,0.0,27949.42,25197.16
58.0,0.0,0.0,0.0,0.0,0.0,359.87,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#5_0,47.43,96.28,!veh4!var#1,4.46,veh_passenger,0.0,27949.41,25201.61
59.0,115.75,4718.87,0.64,2.03,0.09,0.2,HBEFA3/PC_G_EU4,0.0,2.03,veh4,:38091492_7_0,65.68,5.26,!veh4!var#1,6.09,veh_passenger,0.0,27949.43,25207.7
60.0,97.63,4599.46,0.55,1.94,0.08,0.2,HBEFA3/PC_G_EU4,0.0,1.98,veh4,:38091492_7_0,64.92,12.65,!veh4!var#1,7.39,veh_passenger,0.0,27949.45,25215.09
61.0,148.68,8314.99,0.88,3.63,0.17,0.2,HBEFA3/PC_G_EU4,0.0,3.57,veh4,:38091492_7_0,70.8,22.47,!veh4!var#1,9.82,veh_passenger,0.0,27949.49,25224.91
62.0,135.12,8512.45,0.82,3.67,0.18,0.29,HBEFA3/PC_G_EU4,0.0,3.66,veh4,:38092192_4_0,70.22,1.98,!veh4!var#1,11.86,veh_passenger,0.0,27949.54,25236.77
63.0,129.78,8877.18,0.8,3.79,0.18,0.15,HBEFA3/PC_G_EU4,0.0,3.82,veh4,-733279817#3_0,70.33,5.4,!veh4!var#1,13.7,veh_passenger,0.0,27949.57,25250.46
64.0,185.34,12165.01,1.14,5.29,0.27,0.15,HBEFA3/PC_G_EU4,0.0,5.23,veh4,-733279817#3_0,73.33,21.4,!veh4!var#1,16.0,veh_passenger,0.0,27949.62,25266.46
65.0,159.11,11202.99,1.0,4.79,0.24,0.15,HBEFA3/PC_G_EU4,0.0,4.82,veh4,-733279817#3_0,72.36,39.21,!veh4!var#1,17.81,veh_passenger,0.0,27949.66,25284.27
66.0,140.92,10475.22,0.9,4.41,0.22,0.15,HBEFA3/PC_G_EU4,0.0,4.5,veh4,-733279817#3_0,71.97,58.5,!veh4!var#1,19.29,veh_passenger,0.0,27949.71,25303.56
67.0,30.25,5126.73,0.26,1.88,0.08,0.12,HBEFA3/PC_G_EU4,0.0,2.2,veh4,:37981342_9_0,69.15,1.13,!veh4!var#1,19.68,veh_passenger,0.0,27949.76,25323.24
68.0,49.97,6111.37,0.38,2.33,0.11,359.95,HBEFA3/PC_G_EU4,0.0,2.63,veh4,-733279817#2_0,69.82,6.94,!veh4!var#1,20.23,veh_passenger,0.0,27949.76,25343.47
69.0,0.0,0.0,0.0,0.0,0.0,359.95,HBEFA3/PC_G_EU4,0.0,0.0,veh4,-733279817#2_0,67.6,26.65,!veh4!var#1,19.72,veh_passenger,0.0,27949.75,25363.18
70.0,19.85,4638.62,0.2,1.64,0.07,359.95,HBEFA3/PC_G_EU4,0.0,1.99,veh4,-733279817#2_0,69.09,46.65,!veh4!var#1,20.0,veh_passenger,0.0,27949.73,25383.18
