timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
1.0,164.78,2624.72,0.81,1.2,0.07,271.07,HBEFA3/PC_G_EU4,0.0,1.13,veh2,5337487#3_0,55.94,5.1,!veh2!var#1,0.0,veh_passenger,0.0,23726.22,25284.67
2.0,148.12,2942.26,0.74,1.32,0.07,271.09,HBEFA3/PC_G_EU4,0.0,1.26,veh2,5337487#3_0,62.42,6.46,!veh2!var#1,1.36,veh_passenger,0.0,23724.87,25284.69
3.0,134.43,3441.38,0.69,1.51,0.07,271.1,HBEFA3/PC_G_EU4,0.0,1.48,veh2,5337487#3_0,63.69,9.32,!veh2!var#1,2.86,veh_passenger,0.0,23722.0,25284.75
4.0,121.5,3852.58,0.64,1.67,0.08,271.1,HBEFA3/PC_G_EU4,0.0,1.66,veh2,5337487#3_0,64.11,13.64,!veh2!var#1,4.32,veh_passenger,0.0,23717.68,25284.83
5.0,146.4,6672.76,0.83,2.93,0.14,271.1,HBEFA3/PC_G_EU4,0.0,2.87,veh2,5337487#3_0,69.98,20.51,!veh2!var#1,6.87,veh_passenger,0.0,23710.81,25284.96
6.0,127.88,6880.4,0.75,2.97,0.14,271.1,HBEFA3/PC_G_EU4,0.0,2.96,veh2,5337487#3_0,68.83,29.44,!veh2!var#1,8.93,veh_passenger,0.0,23701.89,25285.13
7.0,155.57,9305.08,0.93,4.06,0.2,271.1,HBEFA3/PC_G_EU4,0.0,4.0,veh2,5337487#3_0,71.49,40.78,!veh2!var#1,11.34,veh_passenger,0.0,23690.55,25285.35
8.0,178.99,11307.68,1.09,4.94,0.25,271.1,HBEFA3/PC_G_EU4,0.0,4.86,veh2,5337487#3_0,73.01,54.61,!veh2!var#1,13.83,veh_passenger,0.0,23676.72,25285.61
9.0,32.26,4330.46,0.25,1.63,0.06,271.1,HBEFA3/PC_G_EU4,0.0,1.86,veh2,5337487#3_0,66.22,68.97,!veh2!var#1,14.35,veh_passenger,0.0,23662.36,25285.89
10.0,0.0,0.0,0.0,0.0,0.0,271.1,HBEFA3/PC_G_EU4,0.0,0.0,veh2,5337487#3_0,63.86,82.95,!veh2!var#1,13.98,veh_passenger,0.0,23648.38,25286.15
